margined_safety_distance (x), current_s (y), target_v (z), CS.vEgo (w)
13.0, 51.18687562649631, 0.0, 1.3131729303950124e-07
13.0, 51.18665891787885, 0.0, 1.1211479034045624e-07
13.0, 51.18677038260362, 0.0, 4.523172947301646e-07
13.0, 51.18665891787885, 0.0, 9.814716031542048e-05
13.0, 51.18677038260362, 0.0, 0.00044827262172475457
13.0, 51.186776603501414, 0.0, 0.0012556817382574081
13.0, 51.18664025516757, 0.0, 0.0021519549190998077
13.0, 51.18616951281113, 0.0, 0.0042107379995286465
13.0, 51.185450958045436, 0.0, 0.006163343787193298
13.0, 51.18437312717983, 0.0, 0.009382020682096481
13.0, 51.1828245579952, 0.0, 0.014568877406418324
13.0, 51.180792811393715, 0.0, 0.020157549530267715
13.0, 51.1782778910284, 0.0, 0.027044223621487617
13.0, 51.17444979540084, 0.0, 0.03488493710756302
13.0, 51.169543910222735, 0.0, 0.042704030871391296
13.0, 51.165598178057174, 0.0, 0.05202597379684448
13.0, 51.1608224779762, 0.0, 0.058213599026203156
13.0, 51.16034553201115, 0.0, 0.01000875886529684
13.0, 51.160227851273, 0.0, -0.00047311646630987525
13.0, 51.15988103204859, 0.0, -1.880794661701657e-05
13.0, 51.159651893680554, 0.0, 0.003478389699012041
13.0, 51.159763351420686, 0.0, 0.0004586096911225468
13.0, 51.159763351420686, 0.0, -1.9208699086448178e-05
13.0, 51.15987480920927, 0.0, -0.00011548404290806502
13.0, 51.159763351420686, 0.0, -2.4946009943960235e-05
13.0, 51.159763351420686, 0.0, 2.3249531295732595e-05
13.0, 51.159763351420686, 0.0, 1.5077333046065178e-05
13.0, 51.159763351420686, 0.0, -2.3063208232088073e-08
13.0, 51.159651893680554, 0.0, -5.901160420762608e-06
13.0, 51.159763351420686, 0.0, -7.968520208123664e-07
13.0, 51.159763351420686, 0.0, 1.6063191878856742e-06
13.0, 51.159763351420686, 0.0, -5.138844016983057e-09
13.0, 51.159651893680554, 0.0, -5.157855866855243e-07
13.0, 51.15928640627217, 0.0, 0.0016634926432743669
13.0, 51.15786801878424, 0.0, 0.011352297849953175
13.0, 51.1567902284605, 0.0, 0.01937592215836048
13.0, 51.153674546200556, 0.0, 0.025751294568181038
13.0, 51.14936964165404, 0.0, 0.035242557525634766
13.0, 51.14530011821009, 0.0, 0.04309042915701866
13.0, 51.14014040207163, 0.0, 0.0493292436003685
13.0, 51.133797735752, 0.0, 0.05862105265259743
13.0, 51.12722599948841, 0.0, 0.064771369099617
13.0, 51.12243187766943, 0.0, 0.07393106818199158
13.0, 51.11621326138988, 0.0, 0.08150454610586166
13.0, 51.115866469754266, 0.0, 0.005100790876895189
13.0, 51.11596546429948, 0.0, -0.001205158419907093
13.0, 51.11561867276824, 0.0, 0.007924363017082214
13.0, 51.11561867276824, 0.0, 0.0005714031285606325
13.0, 51.11561867276824, 0.0, 0.00025898392777889967
13.0, 51.11561867276824, 0.0, -4.91741557198111e-05
13.0, 51.11561867276824, 0.0, -6.929152004886419e-05
13.0, 51.11561867276824, 0.0, -1.2491749657783657e-05
13.0, 51.11561867276824, 0.0, 1.8842642020899802e-05
13.0, 51.11561867276824, 0.0, 1.1095931768068112e-05
13.0, 51.11561867276824, 0.0, -3.5933044273406267e-06
13.0, 51.11561867276824, 0.0, -5.868239895789884e-06
13.0, 51.11561867276824, 0.0, 9.951745596481487e-07
13.0, 51.11561867276824, 0.0, 1.7624478232391994e-06
13.0, 51.11561867276824, 0.0, -4.235340327340964e-07
13.0, 51.11561867276824, 0.0, -4.974600642526639e-07
13.0, 51.11561867276824, 0.0, -1.8139807878014835e-08
13.0, 51.11561867276824, 0.0, 9.64481330356648e-08
13.0, 51.11561867276824, 0.0, 2.6263205654686317e-07
13.0, 51.11561867276824, 0.0, 1.028223550747498e-08
13.0, 51.11550722634096, 0.0, -6.558276055557144e-08
13.0, 51.11562489878616, 0.0, -1.8908373533577105e-08
13.0, 51.11561867276824, 0.0, 5.213518505797765e-09
