timestamp,data,timestamps
1700545702.183503,"[536.6160845975656, 1779.8890242423695, -86.43511786323782]"
1700545702.2386708,"[536.6207023030197, 1779.8136615486765, -86.41230459027472]"
1700545702.2884016,"[536.6280569411317, 1779.696749357954, -86.38222010559542]"
1700545702.3384101,"[536.633140504764, 1779.61626689398, -86.36324711099846]"
1700545702.3833132,"[536.64109033159, 1779.4918033862687, -86.3323635860427]"
1700545702.4337468,"[536.6466862817033, 1779.406378830551, -86.31287140036267]"
1700545702.493816,"[536.6555929308646, 1779.2745760049481, -86.29680625510034]"
1700545702.5384026,"[536.6617303448107, 1779.1841721554092, -86.28994334755458]"
1700545702.5981042,"[536.6708844110952, 1779.0448853490507, -86.27650991231403]"
1700545702.643798,"[536.6769952212653, 1778.9495791769355, -86.26997094106844]"
1700545702.6886222,"[536.6862333643448, 1778.8027601771291, -86.2645259491915]"
1700545702.7385888,"[536.6924318750324, 1778.7021104446299, -86.26655500444343]"
1700545702.7984462,"[536.7023617153478, 1778.547671016509, -86.28919291771425]"
1700545702.843922,"[536.7090796585574, 1778.4426084042054, -86.2970258181314]"
1700545702.8889167,"[536.7090796585574, 1778.4426084042054, -86.2970258181314]"
1700545702.9333258,"[536.7268348599421, 1778.1714207806601, -86.34276789635663]"
1700545702.983524,"[536.7375551770161, 1778.0028713398676, -86.38300414622108]"
1700545703.038862,"[536.7442788676954, 1777.8881130193515, -86.40712465639291]"
1700545703.0885813,"[536.7539243779081, 1777.7123310978577, -86.44122198655009]"
1700545703.1338396,"[536.7603986003706, 1777.592757002512, -86.46501962292501]"
1700545703.1885498,"[536.7707209240679, 1777.4099192097165, -86.51704346965357]"
1700545703.2334685,"[536.7779564843531, 1777.2857369824915, -86.56110801112672]"
1700545703.2834477,"[536.7888888257397, 1777.0960053832546, -86.62561082565747]"
1700545703.3332217,"[536.7960609960022, 1776.967137431241, -86.66377661714338]"
1700545703.3835523,"[536.80655178712, 1776.7702019422898, -86.71785648697622]"
1700545703.4332795,"[536.8135190796943, 1776.6363899989778, -86.75349491992304]"
1700545703.48337,"[536.8242393348423, 1776.431814838122, -86.80832633628759]"
1700545703.533307,"[536.8316066636564, 1776.2928427521983, -86.84683330761592]"
1700545703.5833325,"[536.8428000119941, 1776.0805180787247, -86.90897205548183]"
1700545703.6333477,"[536.8501810689133, 1775.936495483989, -86.94559715406328]"
1700545703.6833797,"[536.8608546769473, 1775.716604519477, -86.98138297586883]"
1700545703.733675,"[536.867987689235, 1775.56751026874, -87.01424945261763]"
1700545703.7834373,"[536.878787159102, 1775.3404241288504, -87.05912001791373]"
1700545703.8333077,"[536.88612623329, 1775.1865498450443, -87.09516196501107]"
1700545703.883272,"[536.88612623329, 1775.1865498450443, -87.09516196501107]"
1700545703.9389389,"[536.9040787581404, 1774.7931561086361, -87.16501391812062]"
1700545703.9837437,"[536.9144752341822, 1774.550982963311, -87.20269728109238]"
1700545704.0440655,"[536.9212732186849, 1774.3869596476247, -87.23271703495305]"
1700545704.083463,"[536.9315633427673, 1774.1371748676106, -87.28200015967869]"
1700545704.1335933,"[536.9385462269496, 1773.9681683017752, -87.3181221612225]"
1700545704.1833532,"[536.9492918012131, 1773.7109688318278, -87.37428212606594]"
1700545704.2487137,"[536.9566792964695, 1773.537025053969, -87.4155015212225]"
1700545704.2834723,"[536.9677929652111, 1773.2723192381804, -87.47772495471708]"
1700545704.333338,"[536.97512989958, 1773.0932884405856, -87.51917909039241]"
1700545704.3940272,"[536.9858849758251, 1772.820966194844, -87.57004361142475]"
1700545704.4332495,"[536.9928575534705, 1772.6368148956021, -87.59861044430937]"
1700545704.483336,"[537.0032157867474, 1772.3567190641234, -87.63920464419877]"
1700545704.5387433,"[537.0101414736959, 1772.167382200515, -87.66935568378486]"
1700545704.5833836,"[537.0207897783501, 1771.8794965843063, -87.7197653858899]"
1700545704.6332908,"[537.0280251827128, 1771.6850120411543, -87.75360366428217]"
1700545704.6832817,"[537.0387253976405, 1771.3895500930012, -87.80026205107524]"
1700545704.7336426,"[537.0456859039123, 1771.1900217398677, -87.82890568738239]"
1700545704.7835581,"[537.0559785839638, 1770.8868626928056, -87.87447815764511]"
1700545704.8339794,"[537.0627487584894, 1770.6822056695482, -87.9034667728763]"
1700545704.883277,"[537.0627487584894, 1770.6822056695482, -87.9034667728763]"
1700545704.938869,"[537.0785296698544, 1770.1615583087193, -87.96322240073019]"
1700545704.9834223,"[537.0877354746901, 1769.8429721393, -87.99552084016395]"
1700545705.0389001,"[537.0940628966605, 1769.6280010999449, -88.01986712229694]"
1700545705.0834355,"[537.1039709989657, 1769.3016701347465, -88.06788733054898]"
