timestamp,data,timestamps
1700200136.30155,"[382.6202770761709, 970.9234227671107, -178.32024717971063]"
1700200136.3517492,"[382.424193719008, 970.9177814696925, -178.537867597844]"
1700200136.4175253,"[382.424193719008, 970.9177814696925, -178.537867597844]"
1700200136.451525,"[381.93518493676254, 970.90741155665, -179.0859743608192]"
1700200136.5069966,"[381.64245978777654, 970.9033424488584, -179.40971844409876]"
1700200136.5517135,"[381.4475705132419, 970.9015438318779, -179.62516019526277]"
1700200136.601547,"[381.15562132332815, 970.9003222986742, -179.95540354424764]"
1700200136.6516745,"[380.9612354896719, 970.900571339078, -180.17732825585654]"
1700200136.7016087,"[380.67007112973533, 970.902536243871, 179.49215377057328]"
1700200136.7514808,"[380.4762238895153, 970.9047918881668, 179.2751018146356]"
1700200136.8019097,"[380.1858611564189, 970.9093484892328, 178.9481928039918]"
1700200136.8515866,"[379.9925701398992, 970.9131593641285, 178.73230947163734]"
1700200136.9016573,"[379.7030471279407, 970.9201647791924, 178.40891085792293]"
1700200136.951676,"[379.5103212878972, 970.9257447878992, 178.19388639362296]"
1700200137.0017319,"[379.22171049323595, 970.9355083999678, 177.87767087674365]"
1700200137.0516944,"[379.0295828755384, 970.9428547578336, 177.67005873130137]"
1700200137.1016505,"[378.74185156339007, 970.955013641519, 177.3766857123603]"
1700200137.1515071,"[378.5503655338395, 970.9638170131911, 177.1849157856891]"
1700200137.2071795,"[378.26352902624075, 970.9782163840231, 176.8931516731322]"
1700200137.2514553,"[378.0726005193866, 970.9887105466388, 176.69984615005853]"
1700200137.301451,"[377.78672745905715, 971.0058924532271, 176.41980290261148]"
1700200137.3518195,"[377.59641178891957, 971.0182568889261, 176.24038855387892]"
1700200137.4014935,"[377.50134841555393, 971.0246678568699, 176.1516864782891]"
1700200137.462449,"[377.12164872910927, 971.0517405956559, 175.7831748115774]"
1700200137.507098,"[376.83760246929467, 971.0732134001939, 175.4995026087783]"
1700200137.5516212,"[376.6485616017072, 971.0881207773955, 175.3088528876611]"
1700200137.6018271,"[376.36548069872515, 971.1116067954333, 175.02304150002334]"
1700200137.6514812,"[376.17710708597485, 971.1281848226706, 174.8321061921926]"
1700200137.7018335,"[375.8950202722806, 971.1544374822993, 174.5397391075786]"
1700200137.7517698,"[375.7073355494004, 971.1727795231002, 174.34400158833455]"
1700200137.8017764,"[375.42627421786034, 971.2012508774376, 174.04794192405848]"
1700200137.8519258,"[375.23925181547304, 971.2208889643828, 173.85022193655016]"
1700200137.9016998,"[374.9591952159715, 971.2514606508773, 173.55347524206866]"
1700200137.9517426,"[374.77286232716943, 971.2726964864414, 173.35587121262301]"
1700200138.001659,"[374.49380907974665, 971.3057972959089, 173.05722967051832]"
1700200138.0518737,"[374.3080870683393, 971.3286535781733, 172.85790310741004]"
1700200138.1071153,"[374.03003887582054, 971.3640505801183, 172.56685104671243]"
1700200138.1515718,"[373.84500129261585, 971.3882949317914, 172.37337292422262]"
1700200138.2015784,"[373.5680307251239, 971.4255828364917, 172.07740659560454]"
1700200138.2515342,"[373.38373660006283, 971.4511491667013, 171.87602940951388]"
1700200138.301844,"[373.1078571649832, 971.4908389830848, 171.57921641405238]"
1700200138.3515637,"[372.9242669267209, 971.5181714241912, 171.38143389788792]"
1700200138.401783,"[372.83261705011824, 971.5321085592523, 171.28362526272332]"
1700200138.4518971,"[372.4668756889087, 971.5897614181263, 170.8905883437983]"
1700200138.5014584,"[372.1933814077167, 971.6345770293931, 170.59773903805183]"
1700200138.551593,"[372.0114344714025, 971.6652198908146, 170.407247538768]"
1700200138.6071293,"[371.73904353666353, 971.7124043340193, 170.1292619784184]"
1700200138.6516829,"[371.55779582138564, 971.7445773192978, 169.94541429736074]"
1700200138.7018998,"[371.37681574106387, 971.7771008205661, 169.75787022327643]"
1700200138.7517433,"[371.1057729481036, 971.8264882643696, 169.47384351283574]"
1700200138.801703,"[370.83531458933413, 971.8766542106025, 169.18766553455356]"
1700200138.851954,"[370.6554450249146, 971.9108892663401, 168.9968411407434]"
1700200138.9017484,"[370.3862761193983, 971.9634750046166, 168.7041679809072]"
1700200138.9518871,"[370.2072188171064, 971.9993225525479, 168.5092218103366]"
1700200139.0018063,"[369.9391353678079, 972.0541964977222, 168.21696011878885]"
1700200139.0517054,"[369.7604900869622, 972.0916584023969, 168.02122005375304]"
1700200139.101628,"[369.49215612016934, 972.1493661064078, 167.72641508285125]"
1700200139.1518183,"[369.3128646902374, 972.1889045632909, 167.53220877369102]"
1700200139.2018485,"[369.0432992247003, 972.2496965079897, 167.2417299090663]"
1700200139.2516348,"[368.86320317555516, 972.2911414535085, 167.0486431910159]"
1700200139.307207,"[368.5924188810326, 972.3544317668002, 166.7596233110944]"
1700200139.3517945,"[368.41140142724646, 972.3974264547594, 166.57374999758935]"
1700200139.40182,"[368.41140142724646, 972.3974264547594, 166.57374999758935]"
1700200139.4516394,"[367.957643047631, 972.506851699107, 166.12541549168708]"
1700200139.50161,"[367.6846534108778, 972.5742392288947, 165.86506673622762]"
1700200139.5516446,"[367.5023662180027, 972.6200081164776, 165.6924271462849]"
1700200139.6071715,"[367.2285648471516, 972.6899758609436, 165.43199877173555]"
1700200139.6574526,"[367.0457965614541, 972.737537032684, 165.2585331535974]"
1700200139.7070937,"[366.7714063534628, 972.810288234579, 165.00171069063407]"
1700200139.7677398,"[366.5883244655482, 972.8596738908898, 164.83038187932476]"
1700200139.8070445,"[366.31358814340973, 972.9349773206285, 164.5674530274307]"
1700200139.8519068,"[366.1304245939834, 972.9858947831659, 164.3857531388798]"
1700200139.9018514,"[365.8558722894615, 973.063251122782, 164.11166183000205]"
1700200139.9624915,"[365.6729773820029, 973.1154188458681, 163.92320823740334]"
1700200140.0018618,"[365.3987055196729, 973.1946380828324, 163.63406414467892]"
1700200140.052066,"[365.215897945221, 973.2482357401562, 163.4407435652446]"
1700200140.1019456,"[364.9418050646616, 973.3298553629013, 163.15345868366018]"
1700200140.1516848,"[364.66783364541834, 973.4127512275575, 162.87202673231258]"
1700200140.2020721,"[364.4853487172851, 973.4687217881839, 162.68201297423252]"
1700200140.2521129,"[364.30303600058863, 973.525279715886, 162.48761587970137]"
1700200140.3018517,"[364.02995373559827, 973.6113683348165, 162.189166652952]"
1700200140.3516953,"[363.84812522588874, 973.6696646820384, 161.9879367244297]"
1700200140.4017322,"[363.75727279112033, 973.6991366950426, 161.8869038787812]"
1700200140.4517345,"[363.394392051256, 973.8197097072303, 161.4808251845942]"
1700200140.5124366,"[363.1227347128805, 973.911824347276, 161.1773545742841]"
1700200140.5517101,"[362.9418287551601, 973.973746692853, 160.97907192582483]"
1700200140.6018596,"[362.6710176319141, 974.0678665345494, 160.67786864839292]"
1700200140.6520274,"[362.4907288511922, 974.1313388550448, 160.4755067076062]"
1700200140.7018874,"[362.2208499024002, 974.2277771780427, 160.17243556397057]"
1700200140.757139,"[362.04116889817516, 974.2927649942915, 159.96700239245519]"
1700200140.8016248,"[361.77198734282774, 974.3912521261635, 159.6612036338052]"
1700200140.8575885,"[361.5928546693046, 974.4576918543493, 159.45678631042261]"
1700200140.9029124,"[361.41397779207, 974.5248291952362, 159.255508560247]"
1700200140.9524927,"[361.14623926413503, 974.6270056681051, 158.96750491915424]"
1700200141.0021386,"[360.8790454772265, 974.7307093817069, 158.69233479766712]"
1700200141.0518882,"[360.70119863145817, 974.8006092771661, 158.50865371483548]"
1700200141.102142,"[360.43480599386, 974.9064411235637, 158.2264561427424]"
1700200141.1516578,"[360.2573795055641, 974.9775027753043, 158.03330840628644]"
1700200141.201711,"[359.99158256691163, 975.0848261760594, 157.7426620353276]"
